,install_date,platform,lt,installs,iap_revenue,ads_revenue
143,2021-05-01,ios,71,281,0.0,24.322889945242423
144,2021-05-01,android,72,459,46.34252056559377,59.723457222239404
145,2021-05-01,ios,72,259,6.257037472970724,19.421025920640204
146,2021-05-01,android,73,416,35.77702809467411,82.39143233021218
147,2021-05-01,ios,73,258,39.75963633770097,27.052769881654967
148,2021-05-01,android,74,417,45.51841384347236,90.20210643851965
149,2021-05-01,ios,74,256,10.839263065817057,27.930294008618148
150,2021-05-01,android,75,429,92.86279060913509,62.12600720852299
151,2021-05-01,ios,75,244,36.78189684827977,17.703664002994174
152,2021-05-01,android,76,425,76.64904023074662,52.16434307258885
153,2021-05-01,ios,76,260,16.166013759145258,16.722965982550704
154,2021-05-01,android,77,426,56.26157047352713,99.50343552177128
155,2021-05-01,ios,77,265,38.47279057942623,21.07527595335887
156,2021-05-01,android,78,435,82.65321119242418,127.14676431912085
157,2021-05-01,ios,78,256,27.30303835258365,28.36945696784369
158,2021-05-01,android,79,409,16.771999714374545,88.86640242786689
159,2021-05-01,ios,79,264,25.93360907041168,29.53406786684627
160,2021-05-01,android,80,401,66.27866159028822,75.91245127719685
161,2021-05-01,ios,80,250,9.593606440844535,28.810030860498955
162,2021-05-01,android,81,405,28.57916346529925,52.33245797890959
163,2021-05-01,ios,81,237,25.91425679166424,21.71585796439649
164,2021-05-01,android,82,392,41.610172950150485,55.17782515580666
165,2021-05-01,ios,82,243,56.523025806178865,23.940314936556206
166,2021-05-01,android,83,392,18.952840307549714,41.66879502882148
167,2021-05-01,ios,83,240,31.666344344610753,19.255255996688902
168,2021-05-01,android,84,401,358.2445955937486,47.71841415574818
169,2021-05-01,ios,84,246,13.368240522869588,19.811660888521146
170,2021-05-01,android,85,415,295.45657672042915,45.68759000168393
171,2021-05-01,ios,85,246,24.023653388759968,21.133555887574403
172,2021-05-01,android,86,380,19.168341101070347,51.67950889990243
173,2021-05-01,ios,86,233,9.407065678913355,13.76525889648292
174,2021-05-01,android,87,361,21.53936700848883,41.92393429529693
175,2021-05-01,ios,87,244,20.84975941493267,16.27444099611057
176,2021-05-01,android,88,351,0.0,60.548903229216194
177,2021-05-01,ios,88,236,20.747237005590918,21.025531858007525
178,2021-05-01,android,89,357,50.89351477930259,77.86181616317117
179,2021-05-01,ios,89,229,66.51758295207989,31.35997198908808
180,2021-05-01,android,90,351,90.80941236814262,104.28446820075897
181,2021-05-01,ios,90,238,104.11203683835578,39.65462602855405
182,2021-05-02,android,0,24261,681.202584664125,2370.348209474221
183,2021-05-02,ios,0,4420,349.6761685458991,649.7351769476445
184,2021-05-02,android,1,7313,468.26882939012955,1170.6043559382651
185,2021-05-02,ios,1,1560,148.97815257305732,253.2697556044077
186,2021-05-02,android,2,5713,312.33633377681826,845.5736827134506
187,2021-05-02,ios,2,1224,192.26397208101434,181.3965817868284
188,2021-05-02,android,3,4582,350.87186913795534,706.5250006737251
189,2021-05-02,ios,3,1033,51.99118153750015,136.31113534363976
190,2021-05-02,android,4,4082,439.9229848971089,835.7677960331988
191,2021-05-02,ios,4,927,115.01543426997692,143.34821386873227
192,2021-05-02,android,5,3707,532.7061796664585,793.9502572155551
193,2021-05-02,ios,5,888,187.86848415432829,140.44941033340547
194,2021-05-02,android,6,3386,643.3608288746892,689.3928112554718
195,2021-05-02,ios,6,847,257.73511486397865,115.79495375699116
196,2021-05-02,android,7,3047,228.45611741626328,556.8439915694827
197,2021-05-02,ios,7,764,102.92784887764256,111.38964792813204
198,2021-05-02,android,8,2775,162.21300526431037,429.9837550521248
199,2021-05-02,ios,8,673,164.8431163450987,119.20557463929435
200,2021-05-02,android,9,2537,359.95728797300393,707.8478721660967
201,2021-05-02,ios,9,653,91.34494626269985,118.68654163178144
202,2021-05-02,android,10,2431,225.09534891862415,577.2381364922705
